residencia_provincia_nombre,edad.rango,n,confirmados,descartados,sospechosos,fallecidos,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
La Rioja,35-39,146,7,137,2,0,0,0,0,0.049,0,0,0,0,0,0,8.6,6.6,NaN,NaN
La Rioja,40-44,145,11,132,2,0,0,0,0,0.077,2,0.182,0,0,0,0,13.7,12.4,NaN,NaN
La Rioja,45-49,100,7,91,2,0,0,0,0,0.071,1,0.143,0,0,0,0,14.8,14.2,NaN,NaN
La Rioja,50-54,81,5,71,5,0,0,0,0,0.066,2,0.4,1,0.2,1,0.2,6.2,5.6,2,10
La Rioja,55-59,65,3,57,5,0,0,0,0,0.05,1,0.333,0,0,0,0,5.7,6,NaN,NaN
La Rioja,60-64,70,1,67,2,0,0,0,0,0.015,1,1,1,1,0,0,20,16,34,34
La Rioja,65-69,62,1,58,3,0,0,0,0,0.017,0,0,0,0,0,0,2,1,NaN,NaN
La Rioja,70-74,48,1,47,0,0,0,0,0,0.021,0,0,0,0,0,0,43,43,NaN,NaN
La Rioja,75-79,43,2,40,1,0,0,0,0,0.048,2,1,2,1,0,0,2,2,1.5,11
La Rioja,80+,102,5,93,4,0,0,0,0,0.051,0,0,0,0,0,0,3,2,NaN,8.3
La Rioja,NA,1,0,1,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Mendoza,0,31,0,29,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Mendoza,1-9,138,6,125,7,0,0,0,0,0.046,4,0.667,0,0,0,0,9,7.7,NaN,NaN
Mendoza,10-14,33,1,31,1,0,0,0,0,0.031,1,1,0,0,0,0,3,3,NaN,NaN
